1;Durchschnitt_1;Durchschnitt_20
1.00756836;1.24376059;1.24376059
1.00054252;1.20958364;1.22667217
1.57490444;1.22707105;1.22680509
1.8673656;1.33585;1.25406635
2.93016791;1.41179788;1.28561258
1;1.56748354;1.33259106
1.03556085;1.35795188;1.33621407
1.10207665;1.74896634;1.38780808
2.43717337;1.60544813;1.41199028
1.00951195;1.55774903;1.42656624
1.1731987;1.59510005;1.4418875
2.06805277;2.03853083;1.49160779
3.81010437;2.18149567;1.54467607
1.23228383;2.02872205;1.57925081
3.68580317;2.37908459;1.63257301
1.22392869;1.94208717;1.6519177
2.02292776;2.32176733;1.69132054
1.14623785;2.80541825;1.75321484
8.08666897;2.72875524;1.80455911
6.73833466;2.74898744;1.85178053
1.00012326;2.94817996;1.90399003
1.05691528;2.84035206;1.98001814
3.48449492;3.27698994;2.07846618
5.27128458;3.45348716;2.18448591
1.02747977;4.0020771;2.31144905
2.77377558;3.67734766;2.4193325
5.51687145;3.4947145;2.5111053
1.55206871;4.32766533;2.65252018
4.60079956;4.06423759;2.76277137
4.47471523;4.17774487;2.88526154
7.03784323;4.15407324;3.00889611
8.78743839;4.27445841;3.13648462
3.59753537;4.3912468;3.24851871
2.30219507;4.66928053;3.36698461
4.43913651;4.59686947;3.48927736
2.05235958;4.59134674;3.59462309
3.41237879;4.66072083;3.72408199
1.7492789;4.63663864;3.83431387
1.00826991;4.81994724;3.93024373
6.50513554;4.76127577;4.02703047
7.13449049;4.65457106;4.11777258
5.17841434;4.85010242;4.20834017
8.86330032;5.08795261;4.31536913
2.16010451;5.07002449;4.40075159
2.94532585;4.63081551;4.45681477
4.49614906;4.95581102;4.50223064
3.58676076;5.45800829;4.58702421
8.16350174;5.21840763;4.66910458
7.20114374;5.11712599;4.70669794
12.71697521;4.92056036;4.74747515
4.51665401;5.2628808;4.79914856
10.05937767;5.04347944;4.84150124
5.17427683;4.74861956;4.86408043
7.67416811;4.95688725;4.89101553
3.64975834;4.51256752;4.88355303
3.79655457;4.76466179;4.89154291
2.75565672;4.86942148;4.90478468
1.84672213;4.77720118;4.91033125
1.14266396;5.33043957;4.94336939
5.69464827;5.03314972;4.95352221
1.00040233;5.07271576;4.96835232
10.1571703;4.97186995;4.98346186
8.55047035;4.91145229;4.98638344
4.3919735;4.81975126;4.97361183
7.52310419;5.29936314;4.98453283
11.39208698;5.11434078;5.00755787
8.5149231;5.41582775;5.02946329
7.31775141;5.63006496;5.03765678
1.46073651;5.14629889;5.0342226
6.58745956;5.44715214;5.0499382
1.21472752;5.31203461;5.06858015
4.04794884;5.33895111;5.07220221
8.97436905;5.31217098;5.08499718
6.2951231;5.36196566;5.11420441
6.78443861;5.41300583;5.13592434
3.10847378;5.82079268;5.19822073
4.78171396;5.02784586;5.21075296
10.35648346;5.36544323;5.23437309
1.41268468;5.33553743;5.26096058
3.85997939;5.56289291;5.27202988
2.27927256;5.38384438;5.28872967
3.14822102;5.31434965;5.30023575
8.52297974;5.54054165;5.32731581
1.09020925;5.25231218;5.34354687
10.89029408;5.11259556;5.35749197
4.29236555;4.85799503;5.33647442
1.34120226;5.12925386;5.33718443
3.98210454;5.48990726;5.34071207
1.00041103;5.4541316;5.33233452
8.31126404;5.401227;5.34447384
2.85672712;4.46434784;5.2976737
7.01383829;5.1599474;5.2904315
4.22357941;5.416471;5.2941227
2.74543858;5.1709981;5.28740025
11.98708439;5.18433475;5.27894163
3.39290905;5.34627962;5.27576447
3.37251401;5.676651;5.26890039
5.85851097;4.91367531;5.2634635
5.11437941;5.56797218;5.27310801
5.19948483;5.5321331;5.28246975
7.99749088;5.51855326;5.28035831
6.14303017;5.56925106;5.28918695
7.56006956;5.46023226;5.296134
1.67347527;5.45850801;5.29222727
5.98491907;5.36105967;5.29740572
5.85330582;5.40611649;5.31138325
2.52954578;5.49246264;5.34159565
2.01566839;5.26598978;5.34810734
7.07214355;5.78799963;5.36230183
3.96548629;5.47215986;5.36316061
6.84209394;5.67746258;5.37631464
6.24196339;5.58159208;5.42951679
7.2820859;5.88165808;5.46388388
3.56249738;5.87902021;5.48590994
3.61772656;5.45643282;5.49950218
8.9409256;5.59370041;5.51899576
3.64343262;5.48055935;5.52539015
6.11020374;5.60475731;5.52196646
3.39492369;5.8888464;5.56840324
2.88638639;5.50194263;5.56525898
3.09858012;5.67741156;5.57217693
8.58098412;5.35099506;5.56419802
4.84148979;5.33687639;5.55313253
7.60058546;5.43458414;5.55191135
4.62834835;5.69202995;5.5630312
6.27037048;5.07324266;5.54932594
5.8164463;5.46436834;5.5520997
3.60506344;5.62813663;5.55856037
1.16485608;5.33241558;5.56172323
9.04539776;6.04836369;5.57412148
;5.2974534;5.56580257
